"Premium","Year","Month","Date"
"3095768.57","2023","3","2023/03/01"
"1911554.06","2023","4","2023/04/01"
"2161197.04","2023","5","2023/05/01"
"3277589.87","2023","6","2023/06/01"
"2016920.33","2023","7","2023/07/01"
"2441551.01","2023","8","2023/08/01"
"1856693.16","2023","9","2023/09/01"
"2372788.71","2023","10","2023/10/01"
"29677957.1","2023","11","2023/11/01"
"1763281.38","2023","12","2023/12/01"
"2488732.32","2024","1","2024/01/01"
"3149035.64","2024","2","2024/02/01"
"2088109.82","2024","3","2024/03/01"
